City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
315,Paraiso,CR,79.66,scattered clouds,9.8383,-83.8656,Rinconcito Verde
320,Sabang,ID,82.53,overcast clouds,5.8933,95.3214,Hotel Citra
322,Puerto Ayacucho,VE,77.31,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
325,Road Town,VG,86.09,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
326,Bani,DO,85.44,clear sky,18.2833,-70.3333,Hospedaje Henriquez
327,Hobyo,SO,76.01,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
338,Dwarka,IN,82.87,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
339,Mudanjiang,CN,76.33,broken clouds,44.5833,129.6,Landi Express Business Hotel
346,Aklavik,CA,83.23,haze,68.2191,-135.0107,Aklavik Inn
347,Biak,ID,75.36,broken clouds,-0.9131,122.8766,Penginapan Kim
349,Tomatlan,MX,89.04,few clouds,19.9333,-105.25,El Salvial
351,Akyab,MM,79.23,broken clouds,20.15,92.9,Hotel Memory
353,Freetown,SL,76.68,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
357,Caterman,PH,78.3,overcast clouds,17.2036,120.4214,Ban-aw Resort
358,Jaffrey,US,81.36,mist,42.814,-72.0231,Woodbound Inn
359,Parksville,CA,75.96,clear sky,49.3163,-124.3195,Oceanside Village Resort Parksville
360,Kavieng,PG,82.44,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
366,Anloga,GH,79.02,broken clouds,5.7947,0.8973,Pin Drop Hotel
368,Makakilo City,US,81.68,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
370,Ariquemes,BR,77.65,scattered clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
376,Ternate,ID,80.8,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
380,College,US,84.52,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
384,Turbat,PK,85.06,few clouds,26.0023,63.044,Mubashar Quarters
385,Chenghai,CN,76.91,overcast clouds,23.4632,116.768,Guangdong Hotel
392,Mandera,KE,78.06,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
393,Thiruvananthapuram,IN,78.78,mist,8.4833,76.9167,Hotel Residency Tower
398,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
399,Faanui,PF,78.6,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
405,Juegang,CN,80.2,scattered clouds,32.3174,121.1855,Rudong Y Hotel
408,Itoman,JP,81.37,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
410,Montrose,US,85.41,overcast clouds,38.4166,-108.2673,
411,Pyay,MM,76.08,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
416,Oriximina,BR,81.61,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
417,Acarau,BR,79.56,clear sky,-2.8856,-40.12,castelo pizzaria
418,Nong Bua,TH,75.69,light rain,15.8646,100.5858,ลภัสรดารีสอร์ท
420,Pandan,PH,81.79,overcast clouds,14.0453,124.1694,Bonifacio Lodge
423,Labuhan,ID,75.29,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
424,Vaitape,PF,78.58,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
426,Samarai,PG,78.82,overcast clouds,-10.6167,150.6667,Nuli Sapi
427,Nantucket,US,81.97,clear sky,41.2835,-70.0995,Jared Coffin House
431,Gazanjyk,TM,87.28,clear sky,39.2446,55.5154,Railway motel
435,Estelle,US,84.2,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
437,Sabha,LY,85.87,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
440,Saint Anthony,US,89.22,haze,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
443,Nanchang,CN,80.65,overcast clouds,28.6833,115.8833,Gloria Plaza Hotel Nanchang
444,Itarema,BR,79.41,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
445,Luwuk,ID,76.73,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
450,Nishihara,JP,80.65,mist,26.1842,127.7558,Minshuku Agaihama
452,Patnanungan,PH,82.44,overcast clouds,14.7833,122.1833,Villa Caesar
453,Sorong,ID,79.12,overcast clouds,-0.8833,131.25,waigo splash hotel
456,Dalbandin,PK,84.13,clear sky,28.8947,64.4101,Sanjrani House
457,Buenaventura,CO,79.48,broken clouds,3.8801,-77.0312,La Casa Blanca Hotel
459,Toba,JP,86.29,clear sky,34.4833,136.85,ホテル アルティア鳥羽
461,Bud,US,84.2,few clouds,39.447,-86.1758,Ted McQuinn Trust
470,Aden,YE,84.25,broken clouds,12.7794,45.0367,Sama Emirate Hotel
478,Cantapoy,PH,82.0,overcast clouds,9.4906,125.4364,Brgy Pili Mountain View
479,Chotila,IN,79.95,overcast clouds,22.4167,71.1833,Hotel Honest
483,Codajas,BR,79.84,overcast clouds,-3.8367,-62.0569,Hotel Tucunaré
484,Naze,JP,77.92,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
485,Qitaihe,CN,78.03,overcast clouds,45.8,130.85,Baiyun Hostel
490,Diffa,NE,87.39,scattered clouds,13.3154,12.6113,ProDAF/Diffa
491,Creston,US,83.64,clear sky,41.0586,-94.3614,Supertel Inn & Conference Center
492,Steubenville,US,83.98,scattered clouds,40.3698,-80.634,Hampton Inn Steubenville
493,Maumere,ID,77.94,few clouds,-8.6199,122.2111,Sylvia Hotel
496,Nushki,PK,82.49,clear sky,29.5542,66.0215,Shams hotel
497,Chandia,IN,76.33,overcast clouds,23.65,80.7,Ram janki Mandir. Hanuman Mandir
498,Haapiti,PF,83.93,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
500,Gorontalo,ID,77.07,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
501,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
504,Haines Junction,CA,75.15,broken clouds,60.7522,-137.5108,Parkside Inn
509,Monrovia,LR,77.27,overcast clouds,6.3005,-10.7969,Sunset Inn
510,Ventimiglia,IT,76.05,clear sky,43.7935,7.6026,Kaly
511,Steamboat Springs,US,83.07,broken clouds,40.485,-106.8317,Steamboat Grand
514,Carroll,US,88.99,clear sky,39.5501,-77.0164,Best Western Westminster Hotel
