City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Vila Do Maio,CV,81.39,broken clouds,15.1333,-23.2167,Hotel Marilu
295,Buala,SB,82.53,light rain,-8.145,159.5921,Maringe Lagoon Lodge
298,Kapuskasing,CA,70.93,overcast clouds,49.4169,-82.4331,Park Inn Motel
299,Sao Filipe,CV,76.77,overcast clouds,14.8961,-24.4956,Hotel Xaguate
301,Mabaruma,GY,76.59,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
302,Cacu,BR,70.97,clear sky,-18.5567,-51.1308,Império Hotel
305,Dickinson,US,89.82,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
309,Palu,ID,74.77,light rain,-0.8917,119.8707,Hotel Santika Palu
311,Yanam,IN,74.88,light rain,16.7333,82.2167,The Regency Hotel
313,Eyl,SO,79.7,broken clouds,7.9803,49.8164,Amiin Hotel
314,Mizdah,LY,72.36,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
315,Maumere,ID,75.65,scattered clouds,-8.6199,122.2111,Sylvia Hotel
316,Biltine,TD,76.57,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
317,San Jose De Sisa,PE,84.72,few clouds,-6.6167,-76.6915,Killu Sisa Hospedaje
326,Chikwawa,MW,71.13,scattered clouds,-16.0335,34.8009,Thawale Lodge
327,Itoman,JP,80.98,light intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
328,Sibolga,ID,75.4,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
330,Tongchuan,CN,71.15,broken clouds,35.0806,109.0897,Tongchuan Hotel
332,Kaseda,JP,79.84,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
333,Along,IN,75.31,overcast clouds,28.1667,94.7667,Hotel West
335,Kaohsiung,TW,81.09,overcast clouds,22.6163,120.3133,御宿商旅-中山館
336,Hami,CN,84.25,overcast clouds,42.8,93.45,Laoyutang Resort
339,Paragominas,BR,75.2,moderate rain,-2.9667,-47.4833,INOVA
340,Zhicheng,CN,76.59,light rain,30.2956,111.5047,Wangjiang Building
342,Amuntai,ID,72.16,overcast clouds,-2.4177,115.2494,Hotel Balqis
