City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Lompoc,US,34.6391,-120.4579,92.12,73,1,11.5,clear sky
124,Jalu,LY,29.0331,21.5482,78.84,58,0,13.22,clear sky
125,Saldanha,ZA,-33.0117,17.9442,42.85,53,43,8.14,scattered clouds
126,Maues,BR,-3.3836,-57.7186,77.13,77,32,3.62,scattered clouds
127,Iqaluit,CA,63.7506,-68.5145,44.33,87,90,8.99,overcast clouds
128,La Rioja,ES,42.25,-2.5,65.05,72,24,5.32,few clouds
129,Waipawa,NZ,-41.4122,175.5153,51.03,68,96,9.04,overcast clouds
130,Vestmannaeyjar,IS,63.4427,-20.2734,52.83,91,73,11.99,broken clouds
131,Geraldton,AU,-28.7667,114.6,65.12,82,75,17.27,broken clouds
132,Mantua,IT,45.1667,10.7833,79.84,70,2,3,clear sky
133,Flinders,AU,-34.5833,150.8552,51.19,57,88,4,overcast clouds
134,Upernavik,GL,72.7868,-56.1549,41.31,86,100,4.45,overcast clouds
135,Barrow,US,71.2906,-156.7887,39.22,93,90,24.16,overcast clouds
136,Kargil,IN,34.5667,76.1,55.18,64,74,6.71,broken clouds
137,Kenai,US,60.5544,-151.2583,60.03,92,90,0,moderate rain
138,Clyde River,CA,70.4692,-68.5914,41.23,93,90,4.61,light rain
139,Seoul,KR,37.5683,126.9778,80.2,83,0,4.61,clear sky
140,Yar-Sale,RU,66.8333,70.8333,57.22,86,95,9.17,overcast clouds
141,Tasiilaq,GL,65.6145,-37.6368,42.96,94,96,4.25,overcast clouds
142,Codrington,AU,-38.2667,141.9667,49.64,82,100,8.79,overcast clouds
143,Poum,NC,-20.2333,164.0167,70.32,67,6,14,clear sky
144,Kualakapuas,ID,-3.0091,114.3876,75.36,97,100,0.85,overcast clouds
145,Muli,MV,2.9167,73.5667,81.81,76,81,11.45,broken clouds
146,Umm Kaddadah,SD,13.6017,26.6876,83.7,52,100,13.11,overcast clouds
147,Necochea,AR,-38.5473,-58.7368,47.03,76,47,8.81,scattered clouds
148,Muhos,FI,64.808,25.9931,51.58,80,31,3.71,scattered clouds
149,Vulcan,RO,45.3833,23.2667,56.64,92,17,6.22,few clouds
150,Barraute,CA,48.4335,-77.6328,70.07,45,91,8.14,overcast clouds
151,Grindavik,IS,63.8424,-22.4338,51.75,100,90,14.97,light intensity drizzle
152,Pevek,RU,69.7008,170.3133,41.86,75,100,4.63,overcast clouds
153,Bedford,GB,52.1346,-0.4663,71.69,91,11,4.14,few clouds
154,Buraydah,SA,26.326,43.975,90.05,12,88,8.5,overcast clouds
155,Ucluelet,CA,48.9329,-125.5528,73.09,76,46,1.99,scattered clouds
156,Phuket,TH,8,98.25,86.09,78,20,6.91,few clouds
157,The Valley,AI,18.217,-63.0578,86.14,70,20,11.5,few clouds
158,Chuy,UY,-33.6971,-53.4616,46.42,81,7,8.5,clear sky
159,Bereda,ES,43.2686,-7.5406,61.57,97,34,1.16,scattered clouds
160,Chokurdakh,RU,70.6333,147.9167,55.06,74,85,14.03,overcast clouds
161,Black River,JM,18.0264,-77.8487,89.6,61,20,16.64,few clouds
162,Victoria,HK,22.2855,114.1577,80.94,95,100,1.99,light rain
163,Vao,NC,-22.6667,167.4833,69.84,82,37,10.27,scattered clouds
164,Mae Sai,TH,20.4335,99.8762,74.52,100,100,0.98,light rain
165,Sinnamary,GF,5.3833,-52.95,77.74,86,60,5.19,broken clouds
166,Kloulklubed,PW,7.0419,134.2556,82.9,73,65,9.26,broken clouds
167,Acapulco,MX,16.8634,-99.8901,85.82,79,90,5.75,overcast clouds
168,Dikson,RU,73.5069,80.5464,45.07,67,95,12.59,overcast clouds
169,Esperance,AU,-33.8667,121.9,55.24,89,100,18.61,overcast clouds
170,Trelew,AR,-43.249,-65.3051,51.6,47,57,9.19,broken clouds
171,Chirongui,YT,-12.9319,45.1483,73.33,75,4,12.28,light rain
172,Dondo,MZ,-19.6094,34.7431,62.15,93,0,4.54,clear sky
173,Caravelas,BR,-17.7125,-39.2481,71.29,68,100,11.27,overcast clouds
174,Tuatapere,NZ,-46.1333,167.6833,43.83,80,100,5.77,moderate rain
175,Sandpoint,US,48.2766,-116.5533,91.13,31,1,1.01,clear sky
176,Arraial Do Cabo,BR,-22.9661,-42.0278,62.56,63,0,3.44,clear sky
177,Mumford,GH,5.2618,-0.759,75.24,84,8,10.8,clear sky
178,San Cristobal,VE,7.7669,-72.225,80.78,76,6,5.12,clear sky
179,Yumen,CN,40.2833,97.2,68.2,56,97,13.24,overcast clouds
180,Ponta Do Sol,PT,32.6667,-17.1,72.72,81,1,3.62,clear sky
181,Mareeba,AU,-17,145.4333,71.44,80,98,2.48,overcast clouds
182,San Quintin,MX,30.4833,-115.95,76.62,65,17,14.61,few clouds
183,Katsuura,JP,35.1333,140.3,84.31,73,77,2.98,broken clouds
184,Port-Gentil,GA,-0.7193,8.7815,75.16,88,20,9.22,few clouds
185,Beloha,MG,-25.1667,45.05,68.94,64,11,5.61,few clouds
186,Semporna,MY,4.4818,118.6112,73.6,83,84,5.84,broken clouds
187,Severo-Kurilsk,RU,50.6789,156.125,53.98,88,27,4.05,scattered clouds
188,Uruzgan,AF,32.8333,66,71.98,27,44,6.76,scattered clouds
189,Erechim,BR,-27.6342,-52.2739,50.04,78,87,1.72,overcast clouds
190,Socorro,US,31.6546,-106.3033,95.09,26,20,6.91,few clouds
191,Kopervik,NO,59.2835,5.3067,56.28,82,40,17.27,scattered clouds
192,Kruisfontein,ZA,-34.0033,24.7314,48.88,76,98,17.18,overcast clouds
193,Winona,US,43.9666,-91.7668,86.29,62,1,8.05,clear sky
194,Uige,AO,-7.6087,15.0613,64,67,1,3.02,clear sky
195,Longyearbyen,SJ,78.2186,15.6401,39.04,81,75,3.44,light rain
196,Bhainsdehi,IN,21.6467,77.6325,71.6,87,100,10.85,overcast clouds
197,Richards Bay,ZA,-28.783,32.0377,59.92,35,0,5.66,clear sky
198,Asau,RO,46.4333,26.4,63.95,92,69,3.13,broken clouds
199,Plettenberg Bay,ZA,-34.0527,23.3716,50.9,75,94,15.35,light rain
200,Erenhot,CN,43.6475,111.9767,80.24,46,0,12.88,clear sky
201,Pokhara,NP,28.2333,83.9833,72.81,91,100,1.74,overcast clouds
202,Harindanga,IN,22.0383,88.3214,82.38,84,100,2.68,overcast clouds
203,Port Augusta,AU,-32.5,137.7667,39.7,67,99,1.7,overcast clouds
204,Wanning,CN,18.8003,110.3967,80.42,85,100,5.99,overcast clouds
205,Jiangyou,CN,31.7667,104.7167,73.72,89,0,3.8,light rain
206,Shingu,JP,33.7333,135.9833,79.92,75,39,7.85,scattered clouds
207,Khash,IR,28.2211,61.2158,76.23,17,0,2.1,clear sky
208,Villarrobledo,ES,39.2699,-2.6012,77.27,20,33,8.1,scattered clouds
209,Prince George,CA,53.9166,-122.753,73.26,46,40,1.01,scattered clouds
210,Victor Harbor,AU,-35.5667,138.6167,48,87,96,3.11,overcast clouds
211,Mount Gambier,AU,-37.8333,140.7667,42.71,100,90,8.05,overcast clouds
212,Ishigaki,JP,24.3448,124.1572,80.73,89,75,16.11,broken clouds
213,Rolante,BR,-29.6506,-50.5758,56.66,72,68,1.79,broken clouds
214,Pechory,RU,57.8164,27.6119,54.86,79,17,9.04,few clouds
215,Mazatlan,MX,23.2167,-106.4167,88.92,79,3,5.01,clear sky
216,Bardiyah,LY,31.7561,25.0865,78.33,75,0,7.96,clear sky
217,Sao Filipe,CV,14.8961,-24.4956,73.54,85,51,5.37,broken clouds
218,Tiznit,MA,29.5833,-9.5,73.54,54,0,2.71,clear sky
219,Najran,SA,17.4924,44.1277,74.05,61,100,2.46,overcast clouds
220,Capoterra,IT,39.1763,8.9718,78.53,62,0,9.22,clear sky
221,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,91,99,10.16,overcast clouds
222,Airai,TL,-8.9266,125.4092,59.02,80,38,3.89,scattered clouds
223,Partapur,IN,23.6,74.1667,80.04,82,86,13.51,overcast clouds
224,Georgetown,MY,5.4112,100.3354,80.89,89,20,3,few clouds
225,Laguna,US,38.421,-121.4238,102.24,30,1,5.99,clear sky
226,Fortuna,US,40.5982,-124.1573,86.18,81,75,3,broken clouds
227,San Matias,BO,-16.3667,-58.4,70.32,20,34,5.06,scattered clouds
228,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,61,13.29,broken clouds
229,Anadyr,RU,64.75,177.4833,48.7,81,75,5.99,light intensity shower rain
230,Xichang,CN,27.8964,102.2634,63.95,92,28,1.66,scattered clouds
231,Kachug,RU,53.9606,105.8817,61.32,74,95,1.32,overcast clouds
232,Obera,AR,-27.4871,-55.1199,45.09,72,58,0.45,light rain
233,Ambilobe,MG,-13.2,49.05,68.61,75,0,5.35,clear sky
234,Banda Aceh,ID,5.5577,95.3222,79.81,78,100,14.99,overcast clouds
235,Lorengau,PG,-2.0226,147.2712,81.95,75,100,2.15,overcast clouds
236,Loding,NO,67.3,14.75,49.91,80,75,8.01,broken clouds
237,Talnakh,RU,69.4865,88.3972,52.93,72,0,3.44,clear sky
238,Tananger,NO,58.9333,5.6,56.28,74,20,13.8,few clouds
239,Atibaia,BR,-23.131,-46.589,57.2,77,83,4.59,broken clouds
240,Prince Rupert,CA,54.3161,-130.3201,62.29,85,90,3.44,light rain
241,West Bay,KY,19.3667,-81.4167,87.87,75,20,3,few clouds
242,Kodinsk,RU,58.6881,99.1844,59.25,82,4,0.51,clear sky
243,Astoria,US,46.1879,-123.8313,76.87,68,1,5.99,clear sky
244,Meulaboh,ID,4.1363,96.1285,75.87,87,100,3.2,light rain
245,Lata,PT,40.1629,-8.3327,65.05,96,41,3.22,scattered clouds
246,Colac,AU,-38.3333,143.5833,46.62,86,40,4.43,scattered clouds
247,Baruun-Urt,MN,46.6806,113.2792,75.94,54,23,8.7,few clouds
248,Newport,GB,51.5877,-2.9984,71.53,78,0,3.56,clear sky
249,Pingzhuang,CN,42.0372,119.2889,72.46,86,23,8.39,few clouds
250,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,54,0,9.22,clear sky
251,Ust-Ishim,RU,57.6935,71.1665,56.55,96,8,4.03,clear sky
252,Nome,US,64.5011,-165.4064,51.17,93,90,13.8,light rain
253,Cabo San Lucas,MX,22.8909,-109.9124,99.81,60,12,10.13,few clouds
254,Kamaishi,JP,39.2667,141.8833,78.64,77,62,3.91,broken clouds
255,Kieta,PG,-6.2167,155.6333,83.21,70,90,2.37,light rain
256,Playa Vicente,MX,17.8333,-95.8167,85.73,77,68,3.94,broken clouds
257,Hay River,CA,60.8156,-115.7999,67.98,68,40,10.36,smoke
258,Omsukchan,RU,62.5333,155.8,70.41,40,71,2.64,broken clouds
259,Raga,SS,8.4596,25.678,68.2,94,87,5.1,overcast clouds
260,Bandarbeyla,SO,9.4942,50.8122,76.01,81,54,29.21,broken clouds
261,Tilichiki,RU,60.4667,166.1,59.77,56,100,5.68,overcast clouds
262,Kaeo,NZ,-35.1,173.7833,58.32,96,100,12.53,moderate rain
263,Antofagasta,CL,-23.65,-70.4,64.22,63,8,5.39,clear sky
264,Muros,ES,42.7762,-9.0603,66.7,87,37,5.68,scattered clouds
265,Lithgow,AU,-33.4833,150.15,41.86,74,54,9.1,broken clouds
266,Fort Nelson,CA,58.8053,-122.7002,74.79,41,75,4.61,broken clouds
267,Myitkyina,MM,25.3833,97.4,77.45,98,100,0.4,moderate rain
268,Tarakan,ID,3.3,117.6333,72.9,94,40,0,light intensity shower rain
269,Sozimskiy,RU,59.7418,52.2482,58.68,97,100,4.54,overcast clouds
270,Kudahuvadhoo,MV,2.6708,72.8944,81.9,75,53,10.83,broken clouds
271,Jiazi,CN,22.8779,116.067,78.76,88,100,9.1,overcast clouds
272,Lazaro Cardenas,MX,17.9583,-102.2,85.14,74,100,8.7,overcast clouds
273,Ha Tinh,VN,18.3333,105.9,80.62,76,100,7.56,light rain
274,Pachino,IT,36.7186,15.0907,76.6,71,0,5.01,clear sky
275,Nikolskoye,RU,59.7035,30.7861,59.02,96,91,5.73,moderate rain
276,Guerrero,MX,17.6667,-100,78.12,75,78,2.19,broken clouds
277,Tlanchinol,MX,20.9833,-98.65,73.58,65,59,4.5,broken clouds
278,Hasaki,JP,35.7333,140.8333,81,75,82,6.26,broken clouds
279,Kavaratti,IN,10.5669,72.642,82.17,79,100,19.06,overcast clouds
280,Emba,KZ,48.8264,58.1442,77,34,31,9.01,scattered clouds
281,Arkhangelsk,RU,64.5401,40.5433,50.11,93,20,4.47,light rain
282,San Patricio,US,28.017,-97.5169,93.61,63,91,4.56,overcast clouds
283,Chernyshevskiy,RU,63.0128,112.4714,65.75,60,8,4.47,clear sky
284,Venice,US,27.0998,-82.4543,90.05,75,1,8.05,clear sky
285,Havoysund,NO,70.9963,24.6622,45.48,90,100,28.79,light rain
286,Salalah,OM,17.0151,54.0924,78.89,89,75,8.05,broken clouds
287,Cabedelo,BR,-6.9811,-34.8339,75.87,83,16,11.36,few clouds
288,Fairbanks,US,64.8378,-147.7164,85.01,35,1,1.99,smoke
289,Mayo,US,38.8876,-76.5119,91.94,68,1,3,haze
290,Oistins,BB,13.0667,-59.5333,82.49,78,40,18.41,scattered clouds
291,Lagoa,PT,39.05,-27.9833,68.13,85,1,17.02,clear sky
292,Savannah Bight,HN,16.45,-85.85,86.05,80,91,20.15,overcast clouds
293,Kuala Terengganu,MY,5.3302,103.1408,80.55,94,20,0,few clouds
294,Seabra,BR,-12.4186,-41.7703,73.13,53,46,11.63,scattered clouds
295,Wilmington,US,34.2257,-77.9447,80.51,79,20,4.61,few clouds
296,Deputatskiy,RU,69.3,139.9,52.95,73,98,12.21,overcast clouds
297,Guerrero Negro,MX,27.9769,-114.0611,76.84,62,23,20.07,few clouds
298,Palmer,US,42.1584,-72.3287,84.43,68,75,4.61,haze
299,Kargasok,RU,59.0556,80.8572,56.19,95,58,5.77,broken clouds
300,Natal,BR,-5.795,-35.2094,77.65,83,20,6.91,few clouds
301,Emerald,AU,-23.5333,148.1667,62.98,42,0,10.36,clear sky
302,Guiratinga,BR,-16.3494,-53.7583,71.35,31,2,1.57,clear sky
303,Port Hedland,AU,-20.3167,118.5667,60.85,100,31,8.05,scattered clouds
