City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Thompson,CA,2021-07-14 19:31:44,55.7435,-97.8558,84.0,21,20,4.36
90,Makakilo City,US,2021-07-14 19:31:57,21.3469,-158.0858,79.12,70,75,3.44
91,Qasigiannguit,GL,2021-07-14 19:31:57,68.8193,-51.1922,41.25,98,100,9.6
92,Pafos,CY,2021-07-14 19:30:17,34.7667,32.4167,78.71,89,0,5.75
93,Saldanha,ZA,2021-07-14 19:31:58,-33.0117,17.9442,51.69,60,8,3.8
94,Ketchikan,US,2021-07-14 19:31:58,55.3422,-131.6461,59.47,67,90,8.05
95,Ayan,RU,2021-07-14 19:31:59,56.45,138.1667,61.68,71,100,10.11
96,Ulladulla,AU,2021-07-14 19:31:59,-35.35,150.4667,59.77,78,10,8.16
97,Humaita,BR,2021-07-14 19:31:59,-7.5061,-63.0208,96.62,28,52,2.89
98,Christchurch,NZ,2021-07-14 19:30:11,-43.5333,172.6333,53.8,54,100,10.36
99,Lagoa,PT,2021-07-14 19:32:00,39.05,-27.9833,68.74,83,100,14.58
100,Busselton,AU,2021-07-14 19:32:00,-33.65,115.3333,48.09,52,89,27.42
101,Nikolskoye,RU,2021-07-14 19:32:01,59.7035,30.7861,78.69,91,100,2.8
102,Mormugao,IN,2021-07-14 19:32:01,15.4,73.8,74.46,100,90,12.66
103,Punta Arenas,CL,2021-07-14 19:27:22,-53.15,-70.9167,39.31,93,90,12.66
104,Niquelandia,BR,2021-07-14 19:32:02,-14.4739,-48.4597,85.98,21,0,3.44
105,Pudozh,RU,2021-07-14 19:32:03,61.8099,36.5345,67.62,64,69,1.72
106,Tiassale,CI,2021-07-14 19:32:03,5.8983,-4.8283,72.01,93,92,3.94
107,Camacha,PT,2021-07-14 19:32:04,33.0833,-16.3333,68.76,68,75,12.66
108,Olafsvik,IS,2021-07-14 19:32:04,64.8945,-23.7142,49.84,89,41,16.04
109,Rio Grande,BR,2021-07-14 19:32:05,-32.035,-52.0986,62.71,94,100,9.24
110,Port Lincoln,AU,2021-07-14 19:32:05,-34.7333,135.8667,56.26,80,1,18.39
111,Georgetown,MY,2021-07-14 19:27:13,5.4112,100.3354,80.89,71,20,0.0
112,Dayong,CN,2021-07-14 19:32:06,25.0209,118.2898,82.08,96,10,2.57
113,Port Macquarie,AU,2021-07-14 19:32:06,-31.4333,152.9167,48.16,80,91,8.39
114,Arti,RU,2021-07-14 19:32:06,56.4234,58.5328,50.23,76,80,1.54
115,Muridke,PK,2021-07-14 19:32:07,31.8025,74.2617,82.42,55,7,4.5
116,Ponta Do Sol,PT,2021-07-14 19:32:07,32.6667,-17.1,74.71,80,1,4.47
117,Marabba,SD,2021-07-14 19:32:07,12.35,32.1833,79.72,70,90,9.75
118,Albany,US,2021-07-14 19:32:08,42.6001,-73.9662,87.28,77,39,1.99
119,Rio Gallegos,AR,2021-07-14 19:32:08,-51.6226,-69.2181,42.85,87,90,5.75
120,Chuy,UY,2021-07-14 19:32:09,-33.6971,-53.4616,53.4,98,100,8.99
121,Salamiyah,SY,2021-07-14 19:32:09,35.0113,37.0532,75.88,68,0,11.3
122,Dzhebariki-Khaya,RU,2021-07-14 19:32:09,62.2167,135.8,61.12,73,53,4.34
